,title,intro,gender,occupations
Q29583400,Meredith Stepien,"<p><b>Meredith Stepien</b> (* 2. Januar 1987 in Pinckney, Michigan) ist eine US-amerikanische Schauspielerin und Comedian.
</p>",Unknown,"['Unknown', 'Unknown']"
Q18684362,Chris Tina Tengel,"<p><b>Chris Tina Tengel</b> (geboren 1964 in Wien) ist eine österreichische Musikredakteurin und Moderatorin, die seit 1990 für den ORF arbeitet.
</p>",Unknown,['Unknown']
Q1453787,Freia Hoffmann,"<p><b>Freia Hoffmann</b> (* 4. April 1945 in Lychen) ist eine deutsche Musikwissenschaftlerin.
</p>",Unknown,"['Unknown', 'Unknown']"
Q15843401,Ruth Düring,No intro available,Unknown,['Unknown']
Q1258846,Franziska von Fritsch,"<p><b>Franziska von Fritsch</b> (* 10. März 1828 in Markt Bibart als <i>Franziska Ruf</i>; † 18. März 1904 in Salzburg) war eine deutsch-österreichische Schriftstellerin.
</p>",Unknown,['Unknown']
Q566148,Anneliese Hübner,"<p><b>Anneliese Hübner</b>, geb. Frank, (* 17. Juli 1946 in Coburg) ist eine Coburger Mundartdichterin und Autorin. Sie lebt in Rödental.
</p>",Unknown,['Unknown']
Q1810390,Lea Gottheil,"<p><b>Lea Gottheil</b> (* 19. Juli 1975 in Uster) ist eine Schweizer Schriftstellerin.
</p>",Unknown,['Unknown']
Q18018404,Anna Margareta Pfeffer,"<p><b>Anna Margareta Pfeffer</b> (* 5. Mai 1679 in Hannover; † 6. Oktober 1746 in Wolfenbüttel) war eine deutsche Dichterin. Die „Kaiserlichgekrönte“ war zur Zeit der Personalunion zwischen Großbritannien und Hannover eine der ersten diplomierten Schriftstellerinnen im Kurfürstentum Hannover, die von der Universität Göttingen mit einem Diplom ausgezeichnet wurden.
</p>",Unknown,['Unknown']
Q6515622,Marlies Lüth,"<p><b>Marlies Lüth</b> (* 23. April 1935 in Wuppertal; † 16. Mai 2020) war eine deutsche SPD-Politikerin. Sie war Kreistagsabgeordnete im Kreis Mettmann und stellvertretende Bürgermeisterin in Langenfeld (Rheinland).
</p>",Unknown,['Unknown']
Q17126719,Ruth Perry (Literaturwissenschaftlerin),No intro available,Unknown,"['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Q1665881,Jolina Carl,"<p><b>Jolina Carl</b> (bürgerlich <i>Marion Huppert</i>; * 8. Juli 1970 in Neuss als <i>Marion Fryges</i>) ist eine deutsche Country- und Schlager-Sängerin.
</p>",Unknown,['Unknown']
Q23652721,Evelyn Ruzicka,"<p><b>Evelyn Ruzicka</b> (* 10. Oktober 1982 in Oberndorf bei Salzburg) ist eine österreichische Schauspielerin, Sängerin und Songwriterin.
</p>",Unknown,"['Unknown', 'Unknown', 'Unknown', 'Unknown']"
